sale_id,order_number,quantity_ordered,price_each,sales,order_date,status,qtr_id,month_id,year_id,product_line,product_code,customer_name,city,state,postal_code,country,deal_size,data_quality_score,created_timestamp
1,10107,30,95.70,2871.00,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_1678,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
2,10121,34,81.35,2765.90,2003-05-07,Shipped,2,5,2003,Motorcycles,S10_1678,Reims Collectables,Reims,,51100,France,Unknown,100.00,2026-01-26 15:06:47
3,10134,41,94.74,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_1678,Lyon Souveniers,Paris,,75508,France,Unknown,100.00,2026-01-26 15:06:47
4,10145,45,83.26,3746.70,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_1678,Toys4GrownUps.com,Pasadena,CA,90003,USA,Unknown,100.00,2026-01-26 15:06:47
5,10159,49,100.00,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
6,10168,36,96.66,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_1678,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
7,10180,29,86.13,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_1678,Daedalus Designs Imports,Lille,,59000,France,Unknown,100.00,2026-01-26 15:06:47
8,10188,48,100.00,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_1678,Herkku Gifts,Bergen,,N 5804,Norway,Unknown,100.00,2026-01-26 15:06:47
9,10201,22,98.57,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_1678,Mini Wheels Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
10,10211,41,100.00,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,S10_1678,Auto Canal Petit,Paris,,75016,France,Unknown,100.00,2026-01-26 15:06:47
11,10223,37,100.00,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_1678,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
12,10237,23,100.00,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,S10_1678,Vitachrome Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
13,10251,28,100.00,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,Newark,NJ,94019,USA,Unknown,100.00,2026-01-26 15:06:47
14,10263,34,100.00,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_1678,Gift Depot Inc.,Bridgewater,CT,97562,USA,Unknown,100.00,2026-01-26 15:06:47
15,10275,45,92.83,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,,44000,France,Unknown,100.00,2026-01-26 15:06:47
16,10285,36,100.00,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_1678,Marta's Replicas Co.,Cambridge,MA,51247,USA,Unknown,100.00,2026-01-26 15:06:47
17,10299,23,100.00,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,S10_1678,Toys of Finland, Co.,Helsinki,,21240,Finland,Unknown,100.00,2026-01-26 15:06:47
18,10309,41,100.00,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_1678,Baane Mini Imports,Stavern,,4110,Norway,Unknown,100.00,2026-01-26 15:06:47
19,10318,46,94.74,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_1678,Diecast Classics Inc.,Allentown,PA,70267,USA,Unknown,100.00,2026-01-26 15:06:47
20,10329,42,100.00,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_1678,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
21,10341,41,100.00,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,S10_1678,Salzburg Collectables,Salzburg,,5020,Austria,Unknown,100.00,2026-01-26 15:06:47
22,10361,20,72.55,1451.00,2004-12-17,Shipped,4,12,2004,Motorcycles,S10_1678,Souveniers And Things Co.,Chatswood,NS,2067,Australia,Unknown,100.00,2026-01-26 15:06:47
23,10375,21,34.91,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,,44000,France,Unknown,100.00,2026-01-26 15:06:47
24,10388,42,76.36,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_1678,FunGiftIdeas.com,New Bedford,MA,50553,USA,Unknown,100.00,2026-01-26 15:06:47
25,10403,24,100.00,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,S10_1678,UK Collectables, Ltd.,Liverpool,,WX1 6LT,UK,Unknown,100.00,2026-01-26 15:06:47
